Lokasi Dealer,Tipe,Sub Kategori,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
BOJONEGORO,BYSON FI (2UP1),NAKED,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,41,TUNAI,WIRASWASTA,SMA,22440000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,56,TUNAI,PNS,SMA,16490000
MOJOKERTO,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,24,KREDIT,PELAJAR/MAHASISWA,SMA,16490000
SURABAYA,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,23,KREDIT,LAIN-LAIN,SMA,16490000
BOJONEGORO,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,23,KREDIT,KARYAWAN SWASTA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,51,KREDIT,LAIN-LAIN,SMA,16490000
SURABAYA,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,42,KREDIT,KARYAWAN SWASTA,SARJANA (S1),16490000
MOJOKERTO,FINO PREMIUM FI (1YD1),MATIC,HITAM,PEREMPUAN,MOJOKERTO,JAWA TIMUR,21,TUNAI,PELAJAR/MAHASISWA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,PUTIH,PEREMPUAN,JOMBANG,JAWA TIMUR,22,KREDIT,PELAJAR/MAHASISWA,SMA,16490000
JOMBANG,FINO PREMIUM FI (1YD1),MATIC,PUTIH,LAKI-LAKI,JOMBANG,JAWA TIMUR,26,KREDIT,KARYAWAN SWASTA,SMA,16490000
MOJOKERTO,FORCE ELEGAN (1FD1),MOPED,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,27,TUNAI,PELAJAR/MAHASISWA,SMA,15100000
SURABAYA,JUPITER MX 150 (2PV2),MOPED,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,55,KREDIT,WIRASWASTA,SMA,19775000
SIDOARJO,JUPITER Z CW FI,MOPED,HITAM,PEREMPUAN,SIDOARJO,JAWA TIMUR,58,TUNAI,PROFESIONAL (GURU/DOSEN/DOKTER),AKADEMI/DIPLOMA,17060000
SURABAYA,JUPITER Z CW FI,MOPED,MERAH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,45,KREDIT,WIRASWASTA,SMA,17060000
JOMBANG,JUPITER Z CW FI,MOPED,MERAH,PEREMPUAN,JOMBANG,JAWA TIMUR,23,KREDIT,PELAJAR/MAHASISWA,SMA,17060000
JOMBANG,JUPITER Z CW FI,MOPED,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,17060000
SURABAYA,JUPITER Z CW FI,MOPED,MERAH,PEREMPUAN,SURABAYA,JAWA TIMUR,50,TUNAI,IBU RUMAH TANGGA,SMA,17360000
SIDOARJO,JUPITER Z CW FI,MOPED,PUTIH,PEREMPUAN,SIDOARJO,JAWA TIMUR,43,KREDIT,KARYAWAN SWASTA,AKADEMI/DIPLOMA,17060000
BOJONEGORO,MIO M3 CW (2PH1),MATIC,COKLAT,PEREMPUAN,BOJONEGORO,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,15575000
SIDOARJO,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,51,KREDIT,WIRASWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,58,TUNAI,KARYAWAN SWASTA,SMA,15575000
GRESIK,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,34,KREDIT,KARYAWAN SWASTA,SMA,15575000
SUMENEP,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,SUMENEP,JAWA TIMUR,54,TUNAI,KARYAWAN SWASTA,SMP,15575000
SIDOARJO,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,34,KREDIT,KARYAWAN SWASTA,SMA,15575000
SIDOARJO,MIO M3 CW (2PH1),MATIC,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,AKADEMI/DIPLOMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,KUNING,PEREMPUAN,SURABAYA,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,15575000
SUMENEP,MIO M3 CW (2PH1),MATIC,KUNING,LAKI-LAKI,SAMPANG,JAWA TIMUR,23,TUNAI,LAIN-LAIN,SMA,15575000
SIDOARJO,MIO M3 CW (2PH1),MATIC,KUNING,LAKI-LAKI,SIDOARJO,JAWA TIMUR,43,KREDIT,WIRASWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,29,KREDIT,PELAJAR/MAHASISWA,SMA,15575000
GRESIK,MIO M3 CW (2PH1),MATIC,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,38,KREDIT,KARYAWAN SWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH MUDA,PEREMPUAN,SURABAYA,JAWA TIMUR,26,KREDIT,LAIN-LAIN,SMA,15575000
GRESIK,MIO M3 CW (2PH1),MATIC,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,30,KREDIT,WIRASWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,43,KREDIT,KARYAWAN SWASTA,SMA,15575000
SIDOARJO,MIO M3 CW (2PH1),MATIC,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH,PEREMPUAN,SURABAYA,JAWA TIMUR,40,TUNAI,IBU RUMAH TANGGA,SMA,15575000
LAMONGAN,MIO M3 CW (2PH1),MATIC,MERAH,LAKI-LAKI,LAMONGAN,JAWA TIMUR,69,KREDIT,LAIN-LAIN,SMP,15575000
TUBAN,MIO M3 CW (2PH1),MATIC,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,57,KREDIT,LAIN-LAIN,SD,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,58,TUNAI,KARYAWAN SWASTA,SMA,15875000
BOJONEGORO,MIO M3 CW (2PH1),MATIC,MERAH,PEREMPUAN,TUBAN,JAWA TIMUR,30,KREDIT,WIRASWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,42,TUNAI,PROFESIONAL (GURU/DOSEN/DOKTER),SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,PUTIH,PEREMPUAN,GRESIK,JAWA TIMUR,29,TUNAI,KARYAWAN SWASTA,SMA,15575000
SURABAYA,MIO M3 CW (2PH1),MATIC,PUTIH,PEREMPUAN,SURABAYA,JAWA TIMUR,44,KREDIT,WIRASWASTA,SMA,15575000
SUMENEP,MIO M3 CW (2PH1),MATIC,PUTIH,PEREMPUAN,SUMENEP,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,15575000
SURABAYA,MT 25 (B041),NAKED,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,40,KREDIT,KARYAWAN SWASTA,SMA,47350000
SURABAYA,MX KING 150 (2PV1),MOPED,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,29,KREDIT,PELAJAR/MAHASISWA,SMA,21325000
JOMBANG,MX KING 150 (2PV1),MOPED,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,30,TUNAI,KARYAWAN SWASTA,SMA,21025000
SURABAYA,MX KING 150 (2PV1),MOPED,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,27,KREDIT,KARYAWAN SWASTA,SMA,21025000
BANGKALAN,MX KING 150 (2PV1),MOPED,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,20,TUNAI,PELAJAR/MAHASISWA,SMA,21025000
SIDOARJO,NMAX (2DP2),MAXI,ABU-ABU,LAKI-LAKI,SIDOARJO,JAWA TIMUR,57,TUNAI,KARYAWAN SWASTA,AKADEMI/DIPLOMA,25100000
JOMBANG,NMAX (2DP2),MAXI,ABU-ABU,LAKI-LAKI,JOMBANG,JAWA TIMUR,49,TUNAI,PNS,SMA,25100000
BOJONEGORO,NMAX (2DP2),MAXI,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,32,TUNAI,IBU RUMAH TANGGA,SMA,25100000
SURABAYA,NMAX (2DP2),MAXI,HITAM,LAKI-LAKI,SIDOARJO,JAWA TIMUR,20,KREDIT,PELAJAR/MAHASISWA,SMA,25100000
GRESIK,NMAX (2DP2),MAXI,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,58,TUNAI,WIRASWASTA,SMA,25100000
JOMBANG,NMAX (2DP2),MAXI,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,21,KREDIT,LAIN-LAIN,SMA,25100000
SIDOARJO,NMAX (2DP2),MAXI,MERAH,PEREMPUAN,SIDOARJO,JAWA TIMUR,22,TUNAI,PELAJAR/MAHASISWA,AKADEMI/DIPLOMA,25100000
BANGKALAN,NMAX (2DP2),MAXI,MERAH,PEREMPUAN,BANGKALAN,JAWA TIMUR,21,TUNAI,PELAJAR/MAHASISWA,SMA,25100000
BOJONEGORO,NMAX (2DP2),MAXI,MERAH,PEREMPUAN,BOJONEGORO,JAWA TIMUR,28,TUNAI,IBU RUMAH TANGGA,AKADEMI/DIPLOMA,25100000
SURABAYA,NMAX ABS 2DP1,MAXI,ABU-ABU,PEREMPUAN,GRESIK,JAWA TIMUR,56,KREDIT,LAIN-LAIN,SMA,28600000
SURABAYA,NMAX ABS 2DP1,MAXI,ABU-ABU,LAKI-LAKI,SURABAYA,JAWA TIMUR,32,TUNAI,KARYAWAN SWASTA,SMA,28600000
JOMBANG,NMAX ABS 2DP1,MAXI,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,28600000
SIDOARJO,NMAX ABS 2DP1,MAXI,PUTIH,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,35,KREDIT,KARYAWAN SWASTA,SMA,28600000
SURABAYA,NMAX ABS 2DP1,MAXI,PUTIH,LAKI-LAKI,SURABAYA,JAWA TIMUR,26,TUNAI,PELAJAR/MAHASISWA,SMA,28600000
SIDOARJO,R15,SPORT,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,32,KREDIT,KARYAWAN SWASTA,SMA,31200000
SURABAYA,R15,SPORT,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,43,KREDIT,IBU RUMAH TANGGA,SMA,31200000
JOMBANG,R15,SPORT,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,25,TUNAI,PELAJAR/MAHASISWA,SMA,31200000
JOMBANG,R15,SPORT,HITAM,PEREMPUAN,JOMBANG,JAWA TIMUR,52,KREDIT,PNS,SMA,31200000
SURABAYA,R15,SPORT,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,47,TUNAI,WIRASWASTA,SMA,31200000
MOJOKERTO,R15,SPORT,HITAM,PEREMPUAN,MOJOKERTO,JAWA TIMUR,30,KREDIT,KARYAWAN SWASTA,SMA,31200000
GRESIK,R15,SPORT,HITAM,LAKI-LAKI,GRESIK,JAWA TIMUR,26,KREDIT,PELAJAR/MAHASISWA,SMA,31200000
SIDOARJO,R15,SPORT,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,35,KREDIT,PNS,SMA,31200000
BOJONEGORO,R15,SPORT,HITAM,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,24,KREDIT,LAIN-LAIN,SMA,31200000
JOMBANG,R15,SPORT,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,27,TUNAI,WIRASWASTA,SMA,31200000
BOJONEGORO,R15,SPORT,MERAH,LAKI-LAKI,BOJONEGORO,JAWA TIMUR,55,KREDIT,WIRASWASTA,SMA,31200000
TUBAN,R15,SPORT,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,23,TUNAI,PELAJAR/MAHASISWA,SMA,31200000
SIDOARJO,R15,SPORT,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,48,TUNAI,KARYAWAN SWASTA,SMA,31200000
JOMBANG,R15,SPORT,MERAH,LAKI-LAKI,JOMBANG,JAWA TIMUR,32,KREDIT,LAIN-LAIN,SMA,31200000
TUBAN,R15,SPORT,MERAH,LAKI-LAKI,TUBAN,JAWA TIMUR,22,TUNAI,PELAJAR/MAHASISWA,SMA,31200000
SIDOARJO,R15,SPORT,MERAH,LAKI-LAKI,SIDOARJO,JAWA TIMUR,24,TUNAI,PELAJAR/MAHASISWA,SMA,31200000
SURABAYA,R15 GP - TECH 3 (2PK3),SPORT,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,33,KREDIT,KARYAWAN SWASTA,SMA,31800000
JOMBANG,R15 GP - MOVISTAR (2PK4),SPORT,BIRU,LAKI-LAKI,JOMBANG,JAWA TIMUR,22,KREDIT,PELAJAR/MAHASISWA,SMA,31800000
BANGKALAN,R15 GP - MOVISTAR (2PK4),SPORT,BIRU,LAKI-LAKI,BANGKALAN,JAWA TIMUR,35,TUNAI,LAIN-LAIN,SMA,31800000
LAMONGAN,ALL NEW SOUL GT (2SX1),MATIC,ABU-ABU,LAKI-LAKI,LAMONGAN,JAWA TIMUR,42,KREDIT,WIRASWASTA,SMA,16950000
BOJONEGORO,ALL NEW SOUL GT (2SX1),MATIC,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,49,TUNAI,IBU RUMAH TANGGA,SMA,16950000
BOJONEGORO,ALL NEW SOUL GT (2SX1),MATIC,ABU-ABU,PEREMPUAN,BOJONEGORO,JAWA TIMUR,27,KREDIT,PELAJAR/MAHASISWA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,ABU-ABU,LAKI-LAKI,SURABAYA,JAWA TIMUR,41,TUNAI,KARYAWAN SWASTA,SMA,16950000
JOMBANG,ALL NEW SOUL GT (2SX1),MATIC,ABU-ABU,LAKI-LAKI,JOMBANG,JAWA TIMUR,55,KREDIT,KARYAWAN SWASTA,SMA,16950000
JOMBANG,ALL NEW SOUL GT (2SX1),MATIC,HITAM,LAKI-LAKI,LAMONGAN,JAWA TIMUR,25,KREDIT,PELAJAR/MAHASISWA,SMA,16950000
SURABAYA,ALL NEW SOUL GT (2SX1),MATIC,MERAH,LAKI-LAKI,SURABAYA,JAWA TIMUR,46,KREDIT,KARYAWAN SWASTA,SMA,16950000
